,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,PindolDBorbolet,𝐋 𝐮 𝐜 𝐚 𝐒 𝐈 𝐥 𝐯 𝐚 🦋,2682972105,1233178448094547968,/PindolDBorbolet/status/1233178448094547968,2020-02-27 23:53:48,1582847628,"Eu amanhã ocupadíssimo o dia todo. 

@NetflixBrasil eu te venero #AlltheBrightPlaces pic.twitter.com/hZN6r2iZ5m","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Eu amanhã ocupadíssimo o dia todo. 

<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""231579149"" dir=""ltr"" href=""/NetflixBrasil""><s>@</s><b>NetflixBrasil</b></a> eu te venero <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/hZN6r2iZ5m"">pic.twitter.com/hZN6r2iZ5m</a></p>",[],['AlltheBrightPlaces'],True,['https://pbs.twimg.com/media/ER0hQU-UcAEEYSg.jpg'],,0,2,0,False,False,,[]
1,bcuzisaidso49,Lauren,66003728,1233176734503186440,/bcuzisaidso49/status/1233176734503186440,2020-02-27 23:46:59,1582847219,These last 2 weeks @netflix has been pretty spot on when it comes to their new content so way to go FINALLY. Last week they gave me #Gentefied and now this week I have #AlteredCarbon2 #Desenfrenadas and #AlltheBrightPlaces This is the most at once they've dropped that im  abt.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">These last 2 weeks <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16573941"" dir=""ltr"" href=""/netflix""><s>@</s><b>netflix</b></a> has been pretty spot on when it comes to their new content so way to go FINALLY. Last week they gave me <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Gentefied?src=hash""><s>#</s><b>Gentefied</b></a> and now this week I have <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlteredCarbon2?src=hash""><s>#</s><b>AlteredCarbon2</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Desenfrenadas?src=hash""><s>#</s><b>Desenfrenadas</b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> This is the most at once they've dropped that im <img alt=""😄"" aria-label=""Emoji: Smiling face with open mouth and smiling eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f604.png"" title=""Smiling face with open mouth and smiling eyes""/> abt.</p>",[],"['Gentefied', 'AlteredCarbon2', 'Desenfrenadas', 'AlltheBrightPlaces']",False,[],,0,0,0,False,False,,[]
2,alxsdzn,≡ Alexis,725647838743425024,1233174281325969408,/alxsdzn/status/1233174281325969408,2020-02-27 23:37:14,1582846634,Napakatagal naman ng All The Bright Places!!!! Excited na ko ulit umiyak dahil kay Violet at Finch #AllTheBrightPlaces,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""tl"">Napakatagal naman ng All The Bright Places!!!! Excited na ko ulit umiyak dahil kay Violet at Finch <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AllTheBrightPlaces?src=hash""><s>#</s><b><strong>AllTheBrightPlaces</strong></b></a></p>",[],['AllTheBrightPlaces'],False,[],,0,0,0,False,False,,[]
3,BeashelWrites,Amy Beashel,153788367,1233173994112798720,/BeashelWrites/status/1233173994112798720,2020-02-27 23:36:06,1582846566,"Waaaaaaaaaaaaaahhhhhhhhhh!

#allthebrightplaces
#allthebrightplacesmovie
#canceleverything
#netflix
#yesyesyeshttps://twitter.com/jenniferniven/status/1233169484472557569 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und"">Waaaaaaaaaaaaaahhhhhhhhhh!

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/allthebrightplaces?src=hash""><s>#</s><b><strong>allthebrightplaces</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/allthebrightplacesmovie?src=hash""><s>#</s><b>allthebrightplacesmovie</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/canceleverything?src=hash""><s>#</s><b>canceleverything</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/netflix?src=hash""><s>#</s><b>netflix</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/yesyesyes?src=hash""><s>#</s><b>yesyesyes</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jenniferniven/status/1233169484472557569"" dir=""ltr"" href=""https://t.co/Pj46k63ihf"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jenniferniven/status/1233169484472557569""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jenniferniven/</span><span class=""invisible"">status/1233169484472557569</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/jenniferniven/status/1233169484472557569'],"['allthebrightplaces', 'allthebrightplacesmovie', 'canceleverything', 'netflix', 'yesyesyeshttps']",False,[],,0,0,0,False,False,,[]
4,hiyaitselia,E L I A,3424833328,1233173469799604224,/hiyaitselia/status/1233173469799604224,2020-02-27 23:34:01,1582846441,"So live update rn, I finished reading #AlltheBrightPlaces again in excitement for the movie, so I wanna cry right now but I'm gonna save the tears for the movie hehehe... @jenniferniven I am so proud of you and I can't believe that I had the pleasure of meeting you in 2017! ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">So live update rn, I finished reading <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> again in excitement for the movie, so I wanna cry right now but I'm gonna save the tears for the movie hehehe... <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""47536608"" dir=""ltr"" href=""/jenniferniven""><s>@</s><b>jenniferniven</b></a> I am so proud of you and I can't believe that I had the pleasure of meeting you in 2017! <img alt=""❤"" aria-label=""Emoji: Red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Red heart""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/></p>",[],['AlltheBrightPlaces'],False,[],,1,0,0,False,False,,[]
5,ClipClop69,Samy,1393274965,1233170981830774788,/ClipClop69/status/1233170981830774788,2020-02-27 23:24:07,1582845847,Saben a que hora estará en netflix chile?? #AlltheBrightPlaces @NetflixLAT,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Saben a que hora estará en netflix chile?? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""231577324"" dir=""ltr"" href=""/NetflixLAT""><s>@</s><b>NetflixLAT</b></a></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
6,issisotelo,Marcela Sotelo Mendoza,745847304,1233169915286343680,/issisotelo/status/1233169915286343680,2020-02-27 23:19:53,1582845593,Necesito ver #AlltheBrightPlaces!!!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Necesito ver <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a>!!!!</p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
7,_gabrielleerika,Gabrielle Erika,150140220,1233167212719964160,/_gabrielleerika/status/1233167212719964160,2020-02-27 23:09:09,1582844949,It's All the Bright Places day!!!!!! Violet and Finch are coming to life today!!!!! #AlltheBrightPlaces,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">It's All the Bright Places day!!!!!! Violet and Finch are coming to life today!!!!! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a></p>",[],['AlltheBrightPlaces'],False,[],,0,0,0,False,False,,[]
8,ihatemiIk,heath,2332621710,1233165505676136450,/ihatemiIk/status/1233165505676136450,2020-02-27 23:02:22,1582844542,i hate it here #AlltheBrightPlaces pic.twitter.com/V3H9Am3055,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">i hate it here <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/V3H9Am3055"">pic.twitter.com/V3H9Am3055</a></p>",[],['AlltheBrightPlaces'],True,"['https://pbs.twimg.com/media/ER0VfPxU4AQVlHb.jpg', 'https://pbs.twimg.com/media/ER0VfQ-U4AAk37u.jpg', 'https://pbs.twimg.com/media/ER0VfPUXsAYg3Pc.jpg']",,0,0,0,False,False,,[]
9,xvi0letx2003,Violet ♡,1178569906427707393,1233158350130601991,/xvi0letx2003/status/1233158350130601991,2020-02-27 22:33:56,1582842836,Tomorrows gonna be a gooooooood day :) #Lauv #HarryStyles #FallingMV #FALLINGMUSICVIDEO #Fallingiscoming #Falling #AlltheBrightPlaces  pic.twitter.com/YdSa0rq9OF,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tomorrows gonna be a gooooooood day :) <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Lauv?src=hash""><s>#</s><b>Lauv</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HarryStyles?src=hash""><s>#</s><b>HarryStyles</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FallingMV?src=hash""><s>#</s><b>FallingMV</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FALLINGMUSICVIDEO?src=hash""><s>#</s><b>FALLINGMUSICVIDEO</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Fallingiscoming?src=hash""><s>#</s><b>Fallingiscoming</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Falling?src=hash""><s>#</s><b>Falling</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlltheBrightPlaces?src=hash""><s>#</s><b><strong>AlltheBrightPlaces</strong></b></a> <img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/YdSa0rq9OF"">pic.twitter.com/YdSa0rq9OF</a></p>",[],"['Lauv', 'HarryStyles', 'FallingMV', 'FALLINGMUSICVIDEO', 'Fallingiscoming', 'Falling', 'AlltheBrightPlaces']",True,['https://pbs.twimg.com/media/ER0O-okU4AArK2b.jpg'],,0,0,0,False,False,,[]
